release_year,production_companies,vote_average
1962,Alta Vista Productions,6.19921875
1962,American International Pictures (AIP),5.6015625
1962,American International Pictures (AIP),5.80078125
1962,Santa Clara Productions,5.80078125
1962,Walt Disney Productions,5.8984375
1962,Harcourt Productions,6.8984375
1962,Metro-Goldwyn-Mayer (MGM),7.30078125
1962,Otto Preminger Films,7.0
1962,Universal Pictures,5.6015625
1962,Arwin Productions,5.6015625
1963,Eon Productions,6.69921875
1963,Metro-Goldwyn-Mayer (MGM),6.69921875
1963,Danjaq,6.69921875
1963,Walt Disney Productions,6.69921875
1963,Alfred J. Hitchcock Productions,7.0
1963,Universal Pictures,7.5
1963,Norddeutscher Rundfunk (NDR),6.30078125
1963,Twentieth Century Fox Film Corporation,6.30078125
1963,MCL Films S.A.,6.30078125
1963,Walwa Films S.A.,6.30078125
1963,Casey Productions,6.5
1963,United Artists,6.80078125
1963,The Mirisch Corporation,7.5
1963,Argyle Enterprises,6.69921875
1963,Metro-Goldwyn-Mayer (MGM),6.69921875
1963,Two Arts Ltd.,6.3984375
1963,The Mirisch Corporation,6.80078125
1963,Phalanx Productions,6.80078125
1963,Metro-Goldwyn-Mayer (MGM),5.3984375
1963,Allied Artists Pictures,6.0
1963,Security Pictures Ltd.,6.0
1963,Paramount Pictures,7.0
1963,Woodfall Film Productions,5.3984375
1963,Alta Vista Productions,5.8984375
1963,Paramount Pictures,6.0
1963,Leon Fromkess-Sam Firks Productions,5.8984375
1963,Allied Artists Pictures,5.8984375
1963,Allied Artists Pictures,5.6015625
1963,Samuel Bronston Productions,5.6015625
1963,the filmgroup,5.0
1963,Nouvelles Ã‰ditions de Films (NEF),7.30078125
1963,Paramount Pictures,6.69921875
1963,Jerry Lewis Enterprises,6.69921875
1963,Julian Wintle/Leslie Parkyn Productions,5.80078125
1963,United Artists,5.69921875
1963,Batjac Productions,5.69921875
1963,Columbia Pictures Corporation,6.80078125
1963,Morningside Productions,6.80078125
1963,Alta Vista Productions,6.30078125
1963,Vic Films Productions,6.0
1963,Waterfall Prouctions,6.0
1963,Alta Vista Productions,6.1015625
1963,American International Pictures (AIP),6.1015625
1963,Associated British-PathÃ©,6.19921875
1963,Elstree Distributors,6.19921875
1963,Springbok Productions,6.19921875
1963,Rainbow Productions,5.0
1963,Roxbury Productions,6.5
1963,Hammer Film Productions,6.69921875
1963,Universal International Pictures (UI),6.69921875
1963,Titanus,6.69921875
1963,Leone Film,6.69921875
1964,Eon Productions,7.0
1964,Metro-Goldwyn-Mayer (MGM),7.0
1964,Hawk Films,7.69921875
1964,Columbia Pictures Corporation,7.69921875
1964,Walt Disney Productions,7.19921875
1964,Proscenium Films,6.8984375
1964,Walter Shenson Films,6.8984375
1964,Maljack Productions,6.8984375
1964,Rankin/Bass Productions,6.80078125
1964,Videocraft International,6.80078125
1964,Universal Pictures,7.19921875
1964,Warner Bros.,7.1015625
1964,United Artists,7.1015625
1964,Metro-Goldwyn-Mayer (MGM),7.1015625
1964,Associated Producers (API),6.3984375
1964,Produzioni La Regina,6.3984375
1964,Alta Vista Productions,6.30078125
1964,Metro-Goldwyn-Mayer (MGM),6.69921875
1964,Columbia Pictures Corporation,6.8984375
1964,Diamond Films,6.6015625
1964,Universal Pictures,4.80078125
1964,Anglo-Amalgamated Film Distributors,6.1015625
1964,Warner Bros.,6.1015625
1964,Les Productions Artistes AssociÃ©s,6.80078125
1964,Les Films Ariane,6.80078125
1964,Dear Film Produzione,6.80078125
1964,Winters Hollywood Entertainment Holdings Corporation,5.69921875
1964,Metro-Goldwyn-Mayer (MGM),5.69921875
1964,Jack Cummings Productions,5.69921875
1964,Leon Fromkess-Sam Firks Productions,6.30078125
1964,Hammer Film Productions,6.0
1964,Seven Arts Productions,6.3984375
1964,Joel Productions,6.3984375
1964,Richard Quine Productions,5.8984375
